Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,1,0,agent0,0,0,0,north,NormLearningAgent0,4,4,0,south
0,1,1,agent0,0,1,0,north,NormLearningAgent0,4,3,0,south
0,1,2,agent0,0,1,0,east,NormLearningAgent0,4,2,0,south
0,1,3,agent0,1,1,0,east,NormLearningAgent0,4,2,0,noop
0,1,4,agent0,2,1,0,east,NormLearningAgent0,4,2,0,noop
0,1,5,agent0,2,1,0,east,NormLearningAgent0,4,2,0,noop
0,1,6,agent0,2,1,0,east,NormLearningAgent0,4,2,0,east
0,1,7,agent0,2,1,0,east,NormLearningAgent0,4,2,0,east
0,1,8,agent0,2,1,0,south,NormLearningAgent0,4,2,0,east
0,1,9,agent0,2,0,0,north,NormLearningAgent0,4,2,0,south
0,1,10,agent0,2,1,0,south,NormLearningAgent0,4,2,0,south
0,1,11,agent0,2,0,0,north,NormLearningAgent0,4,2,0,south
0,1,12,agent0,2,1,0,south,NormLearningAgent0,4,2,0,south
0,1,13,agent0,2,0,0,north,NormLearningAgent0,4,2,0,south
0,1,14,agent0,2,1,0,south,NormLearningAgent0,4,2,0,noop
0,1,15,agent0,2,0,0,east,NormLearningAgent0,4,2,0,south
0,1,16,agent0,3,0,0,east,NormLearningAgent0,4,2,0,south
0,1,17,agent0,4,0,0,east,NormLearningAgent0,4,2,0,south
0,1,18,agent0,4,0,0,north,NormLearningAgent0,4,2,0,south
0,1,19,agent0,4,1,0,north,NormLearningAgent0,4,2,0,south
0,1,20,agent0,4,1,0,north,NormLearningAgent0,4,2,0,south
0,1,21,agent0,4,1,0,north,NormLearningAgent0,4,2,0,south
0,1,22,agent0,4,1,0,south,NormLearningAgent0,4,2,0,south
0,1,23,agent0,4,0,0,west,NormLearningAgent0,4,2,0,south
0,1,24,agent0,3,0,0,north,NormLearningAgent0,4,2,0,south
0,1,25,agent0,3,1,0,west,NormLearningAgent0,4,2,0,south
0,1,26,agent0,3,1,0,west,NormLearningAgent0,4,2,0,south
0,1,27,agent0,3,1,0,west,NormLearningAgent0,4,2,0,south
0,1,28,agent0,3,1,0,north,NormLearningAgent0,4,2,0,south
0,1,29,agent0,3,1,0,south,NormLearningAgent0,4,2,0,south
0,1,30,agent0,3,0,0,null,NormLearningAgent0,4,2,0,null
