Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,1,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,1,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,south
0,1,2,agent0,1,2,0,east,NormLearningAgent0,3,0,0,west
0,1,3,agent0,2,2,0,east,NormLearningAgent0,2,0,0,west
0,1,4,agent0,3,2,0,east,NormLearningAgent0,1,0,0,north
0,1,5,agent0,4,2,0,south,NormLearningAgent0,1,1,0,west
0,1,6,agent0,4,1,0,null,NormLearningAgent0,0,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,2,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,2,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,2,2,agent0,1,2,0,east,NormLearningAgent0,2,1,0,west
0,2,3,agent0,2,2,0,east,NormLearningAgent0,1,1,0,south
0,2,4,agent0,3,2,0,south,NormLearningAgent0,1,0,0,west
0,2,5,agent0,3,1,0,east,NormLearningAgent0,0,0,0,north
0,2,6,agent0,4,1,0,null,NormLearningAgent0,0,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,3,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,3,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,3,2,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,3,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,4,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,5,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,6,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,7,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,8,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,9,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,10,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,11,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,12,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,13,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,14,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,15,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,16,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,17,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,18,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,19,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,20,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,21,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,22,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,23,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,24,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,25,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,26,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,27,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,28,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,29,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,3,30,agent0,1,2,0,null,NormLearningAgent0,2,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,4,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,4,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,4,2,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,3,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,4,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,5,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,6,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,7,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,8,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,9,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,10,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,11,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,12,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,13,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,14,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,15,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,16,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,17,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,18,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,19,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,20,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,21,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,22,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,23,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,24,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,25,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,26,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,27,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,28,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,29,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,4,30,agent0,1,2,0,null,NormLearningAgent0,2,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,5,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,5,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,5,2,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,3,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,4,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,5,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,6,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,7,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,8,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,9,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,10,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,11,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,12,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,13,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,14,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,15,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,16,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,17,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,18,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,19,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,20,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,21,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,22,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,23,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,24,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,25,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,26,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,27,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,28,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,29,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,5,30,agent0,1,2,0,null,NormLearningAgent0,2,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,6,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,6,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,6,2,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,3,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,4,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,5,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,6,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,7,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,8,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,9,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,10,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,11,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,12,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,13,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,14,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,15,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,16,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,17,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,18,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,19,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,20,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,21,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,22,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,23,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,24,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,25,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,26,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,27,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,28,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,29,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,6,30,agent0,1,2,0,null,NormLearningAgent0,2,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,7,0,agent0,0,1,0,north,NormLearningAgent0,4,1,0,west
0,7,1,agent0,0,2,0,east,NormLearningAgent0,3,1,0,west
0,7,2,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,3,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,4,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,5,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,6,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,7,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,8,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,9,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,10,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,11,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,12,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,13,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,14,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,15,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,16,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,17,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,18,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,19,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,20,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,21,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,22,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,23,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,24,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,25,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,26,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,27,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,28,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,29,agent0,1,2,0,south,NormLearningAgent0,2,1,0,west
0,7,30,agent0,1,2,0,null,NormLearningAgent0,2,1,0,null
