Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,1,0,agent0,0,1,0,east,ExploringNormLearningAgent0,4,1,0,west
0,1,1,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,1,2,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,1,3,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,1,4,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,1,5,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,south
0,1,6,agent0,2,1,0,east,ExploringNormLearningAgent0,3,0,0,north
0,1,7,agent0,2,1,0,east,ExploringNormLearningAgent0,3,0,0,west
0,1,8,agent0,3,1,0,east,ExploringNormLearningAgent0,2,0,0,west
0,1,9,agent0,4,1,0,null,ExploringNormLearningAgent0,1,0,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,2,0,agent0,0,1,0,east,ExploringNormLearningAgent0,4,1,0,west
0,2,1,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,2,2,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,north
0,2,3,agent0,2,1,0,east,ExploringNormLearningAgent0,3,2,0,west
0,2,4,agent0,3,1,0,noop,ExploringNormLearningAgent0,2,2,0,noop
0,2,5,agent0,3,1,0,noop,ExploringNormLearningAgent0,2,2,0,south
0,2,6,agent0,3,1,0,noop,ExploringNormLearningAgent0,2,1,0,west
0,2,7,agent0,3,1,0,east,ExploringNormLearningAgent0,1,1,0,west
0,2,8,agent0,4,1,0,null,ExploringNormLearningAgent0,0,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,3,0,agent0,0,1,0,east,ExploringNormLearningAgent0,4,1,0,west
0,3,1,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,2,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,3,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,4,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,5,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,6,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,7,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,8,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,9,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,10,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,11,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,12,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,13,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,14,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,15,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,16,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,17,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,18,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,19,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,20,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,21,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,22,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,23,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,24,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,25,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,26,agent0,1,1,0,east,ExploringNormLearningAgent0,3,1,0,west
0,3,27,agent0,1,1,0,north,ExploringNormLearningAgent0,3,1,0,west
0,3,28,agent0,1,2,0,east,ExploringNormLearningAgent0,2,1,0,north
0,3,29,agent0,1,2,0,east,ExploringNormLearningAgent0,2,1,0,west
0,3,30,agent0,2,2,0,null,ExploringNormLearningAgent0,1,1,0,null
