Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,10,5,agent0,4,2,0,south,agent1,0,0,0,north
0,10,6,agent0,4,1,0,null,agent1,0,1,0,null
Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,11,0,agent0,0,1,0,north,agent1,4,1,0,south
0,11,1,agent0,0,2,0,east,agent1,4,0,0,west
0,11,2,agent0,1,2,0,south,agent1,3,0,0,west
0,11,3,agent0,1,1,0,north,agent1,2,0,0,west
0,11,4,agent0,1,2,0,east,agent1,1,0,0,west
0,11,5,agent0,2,2,0,east,agent1,0,0,0,noop
0,11,6,agent0,3,2,0,east,agent1,0,0,0,noop
0,11,7,agent0,4,2,0,south,agent1,0,0,0,north
0,11,8,agent0,4,1,0,null,agent1,0,1,0,null
